date,totalPassengers
2016-04-01,5942.0
2016-04-02,5279.0
2016-04-03,4829.0
2016-04-04,4614.0
2016-04-05,3470.0
2016-04-06,3674.0
2016-04-07,4584.0
2016-04-08,6048.0
2016-04-09,4944.0
2016-04-10,5184.0
2016-04-11,3768.0
2016-04-12,3249.0
2016-04-13,3643.0
2016-04-14,5345.0
2016-04-15,6385.0
2016-04-16,5700.0
2016-04-17,5718.0
2016-04-18,3768.0
2016-04-19,3629.0
2016-04-20,4349.0
2016-04-21,5910.0
2016-04-22,6354.0
2016-04-23,5735.0
2016-04-24,5618.0
2016-04-25,3803.0
2016-04-26,3778.0
2016-04-27,3988.0
2016-04-28,6930.0
2016-04-29,11925.0
2016-04-30,13321.0
2016-05-01,5703.0
2016-05-02,5075.0
2016-05-03,6056.0
2016-05-04,4967.0
2016-05-05,4923.0
2016-05-06,8572.0
2016-05-07,8769.0
2016-05-08,3785.0
2016-05-09,6739.0
2016-05-10,4763.0
2016-05-11,4197.0
2016-05-12,4819.0
2016-05-13,5803.0
2016-05-14,5057.0
2016-05-15,5026.0
2016-05-16,4453.0
2016-05-17,3872.0
2016-05-18,4277.0
2016-05-19,5820.0
2016-05-20,7248.0
2016-05-21,5895.0
2016-05-22,5011.0
2016-05-23,4792.0
2016-05-24,4352.0
2016-05-25,5216.0
2016-05-26,6219.0
2016-05-27,7406.0
2016-05-28,6409.0
2016-05-29,5728.0
2016-05-30,5390.0
2016-05-31,5339.0
2016-06-01,4992.0
2016-06-02,6493.0
2016-06-03,7688.0
2016-06-04,7684.0
2016-06-05,5367.0
2016-06-06,6381.0
2016-06-07,5218.0
2016-06-08,5564.0
2016-06-09,7507.0
2016-06-10,12933.0
2016-06-11,10750.0
2016-06-12,5551.0
2016-06-13,6961.0
2016-06-14,7188.0
2016-06-15,7164.0
2016-06-16,7935.0
2016-06-17,9082.0
2016-06-18,7599.0
2016-06-19,7024.0
2016-06-20,8705.0
2016-06-21,6720.0
2016-06-22,6406.0
2016-06-23,8811.0
2016-06-24,8516.0
2016-06-25,9044.0
2016-06-26,6407.0
2016-06-27,8084.0
2016-06-28,6428.0
2016-06-29,6884.0
2016-06-30,8070.0
2016-07-01,9266.0
2016-07-02,7755.0
2016-07-03,6713.0
